Entidad,Año,Clave_Ent,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
GUERRERO,2015,12,138.0,140.0,155.0,194.0,175.0,141.0,179.0,199.0,163.0,167.0,173.0,192.0
GUERRERO,2016,12,166.0,160.0,188.0,178.0,165.0,195.0,215.0,217.0,170.0,178.0,212.0,169.0
GUERRERO,2017,12,165.0,174.0,209.0,187.0,214.0,205.0,191.0,188.0,185.0,197.0,192.0,203.0
GUERRERO,2018,12,204.0,164.0,205.0,201.0,198.0,182.0,189.0,176.0,188.0,171.0,174.0,170.0
GUERRERO,2019,12,142.0,135.0,115.0,111.0,147.0,139.0,155.0,135.0,94.0,129.0,138.0,139.0
GUERRERO,2020,12,102.0,97.0,128.0,116.0,107.0,78.0,86.0,111.0,93.0,109.0,96.0,99.0
GUERRERO,2021,12,87.0,87.0,98.0,89.0,120.0,110.0,94.0,94.0,97.0,102.0,110.0,78.0
GUERRERO,2022,12,84.0,83.0,84.0,98.0,89.0,120.0,116.0,76.0,112.0,102.0,83.0,90.0
GUERRERO,2023,12,123.0,109.0,115.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIDALGO,2015,13,4.0,16.0,13.0,7.0,8.0,5.0,11.0,15.0,21.0,20.0,12.0,14.0
HIDALGO,2016,13,14.0,7.0,12.0,10.0,11.0,7.0,15.0,15.0,11.0,9.0,15.0,9.0
HIDALGO,2017,13,30.0,13.0,16.0,15.0,13.0,10.0,9.0,23.0,16.0,12.0,11.0,16.0
HIDALGO,2018,13,20.0,14.0,19.0,12.0,19.0,5.0,22.0,22.0,19.0,13.0,21.0,17.0
HIDALGO,2019,13,26.0,16.0,25.0,14.0,21.0,31.0,30.0,18.0,29.0,26.0,16.0,35.0
HIDALGO,2020,13,29.0,22.0,30.0,22.0,22.0,30.0,33.0,33.0,14.0,26.0,15.0,20.0
HIDALGO,2021,13,17.0,19.0,27.0,20.0,17.0,12.0,15.0,25.0,31.0,20.0,20.0,18.0
HIDALGO,2022,13,24.0,15.0,26.0,24.0,35.0,30.0,25.0,16.0,17.0,24.0,24.0,14.0
HIDALGO,2023,13,20.0,22.0,14.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JALISCO,2015,14,79.0,68.0,52.0,78.0,73.0,75.0,88.0,80.0,82.0,88.0,96.0,98.0
JALISCO,2016,14,81.0,81.0,91.0,76.0,118.0,76.0,90.0,98.0,112.0,88.0,96.0,98.0
JALISCO,2017,14,102.0,93.0,97.0,105.0,113.0,111.0,101.0,130.0,103.0,129.0,124.0,134.0
JALISCO,2018,14,115.0,134.0,167.0,153.0,166.0,146.0,156.0,179.0,184.0,192.0,189.0,179.0
JALISCO,2019,14,202.0,204.0,166.0,170.0,155.0,177.0,169.0,155.0,166.0,161.0,157.0,135.0
JALISCO,2020,14,149.0,128.0,169.0,155.0,144.0,147.0,152.0,131.0,144.0,143.0,132.0,159.0
JALISCO,2021,14,156.0,178.0,159.0,163.0,180.0,144.0,144.0,126.0,153.0,144.0,116.0,156.0
JALISCO,2022,14,123.0,119.0,121.0,115.0,148.0,151.0,142.0,126.0,141.0,167.0,132.0,119.0
JALISCO,2023,14,130.0,101.0,115.0,120.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEXICO,2015,15,167.0,146.0,167.0,179.0,185.0,182.0,146.0,154.0,188.0,161.0,167.0,179.0
MEXICO,2016,15,182.0,149.0,174.0,172.0,203.0,155.0,174.0,171.0,168.0,180.0,154.0,172.0
MEXICO,2017,15,164.0,140.0,167.0,181.0,194.0,170.0,149.0,148.0,172.0,194.0,171.0,181.0
MEXICO,2018,15,192.0,161.0,174.0,175.0,184.0,184.0,213.0,188.0,209.0,225.0,213.0,231.0
MEXICO,2019,15,236.0,207.0,243.0,220.0,208.0,201.0,216.0,206.0,191.0,176.0,210.0,225.0
MEXICO,2020,15,182.0,203.0,260.0,213.0,203.0,185.0,202.0,203.0,203.0,215.0,190.0,182.0
MEXICO,2021,15,158.0,205.0,207.0,180.0,211.0,174.0,186.0,196.0,202.0,220.0,199.0,208.0
MEXICO,2022,15,190.0,148.0,216.0,178.0,206.0,168.0,185.0,180.0,234.0,202.0,163.0,187.0
MEXICO,2023,15,216.0,186.0,181.0,205.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICHOACAN DE OCAMPO,2015,16,57.0,46.0,44.0,53.0,60.0,66.0,74.0,79.0,55.0,73.0,73.0,86.0
MICHOACAN DE OCAMPO,2016,16,75.0,83.0,77.0,92.0,96.0,97.0,147.0,128.0,137.0,108.0,106.0,116.0
MICHOACAN DE OCAMPO,2017,16,114.0,108.0,105.0,100.0,85.0,84.0,86.0,95.0,96.0,121.0,118.0,137.0
MICHOACAN DE OCAMPO,2018,16,103.0,109.0,95.0,99.0,105.0,86.0,121.0,127.0,135.0,145.0,103.0,110.0
MICHOACAN DE OCAMPO,2019,16,117.0,121.0,106.0,99.0,111.0,148.0,129.0,163.0,177.0,165.0,156.0,188.0
MICHOACAN DE OCAMPO,2020,16,169.0,177.0,182.0,175.0,153.0,132.0,143.0,160.0,151.0,183.0,177.0,174.0
MICHOACAN DE OCAMPO,2021,16,160.0,166.0,188.0,193.0,186.0,167.0,188.0,196.0,183.0,205.0,184.0,217.0
MICHOACAN DE OCAMPO,2022,16,203.0,208.0,200.0,193.0,167.0,159.0,134.0,141.0,136.0,154.0,134.0,140.0
MICHOACAN DE OCAMPO,2023,16,124.0,119.0,114.0,125.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORELOS,2015,17,29.0,37.0,59.0,33.0,32.0,43.0,38.0,42.0,48.0,31.0,40.0,48.0
MORELOS,2016,17,42.0,39.0,43.0,36.0,51.0,55.0,47.0,55.0,52.0,53.0,51.0,62.0
MORELOS,2017,17,56.0,50.0,59.0,58.0,45.0,42.0,44.0,47.0,54.0,34.0,42.0,44.0
MORELOS,2018,17,59.0,63.0,55.0,46.0,53.0,41.0,76.0,43.0,70.0,65.0,55.0,67.0
MORELOS,2019,17,73.0,81.0,85.0,77.0,68.0,77.0,68.0,80.0,74.0,77.0,86.0,65.0
MORELOS,2020,17,57.0,70.0,77.0,78.0,64.0,66.0,63.0,63.0,58.0,80.0,60.0,66.0
MORELOS,2021,17,71.0,56.0,84.0,99.0,98.0,90.0,90.0,75.0,83.0,101.0,92.0,96.0
MORELOS,2022,17,77.0,67.0,91.0,105.0,99.0,66.0,93.0,76.0,84.0,108.0,89.0,86.0
MORELOS,2023,17,99.0,82.0,116.0,98.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAYARIT,2015,18,5.0,5.0,7.0,7.0,4.0,11.0,9.0,12.0,6.0,5.0,8.0,4.0
NAYARIT,2016,18,4.0,4.0,3.0,2.0,2.0,2.0,1.0,7.0,3.0,6.0,5.0,1.0
NAYARIT,2017,18,4.0,10.0,8.0,5.0,10.0,13.0,13.0,23.0,36.0,39.0,45.0,44.0
NAYARIT,2018,18,41.0,24.0,42.0,31.0,34.0,33.0,26.0,24.0,25.0,23.0,14.0,12.0
NAYARIT,2019,18,13.0,11.0,11.0,12.0,18.0,19.0,14.0,13.0,15.0,15.0,13.0,14.0
NAYARIT,2020,18,18.0,14.0,10.0,10.0,17.0,11.0,10.0,12.0,14.0,20.0,12.0,11.0
NAYARIT,2021,18,22.0,18.0,17.0,20.0,14.0,19.0,12.0,18.0,17.0,14.0,20.0,10.0
NAYARIT,2022,18,9.0,17.0,14.0,11.0,22.0,11.0,10.0,9.0,10.0,11.0,7.0,19.0
NAYARIT,2023,18,13.0,8.0,9.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUEVO LEON,2015,19,34.0,31.0,33.0,32.0,41.0,55.0,33.0,36.0,49.0,50.0,25.0,31.0
NUEVO LEON,2016,19,48.0,89.0,39.0,46.0,61.0,45.0,65.0,51.0,65.0,57.0,39.0,36.0
