Entidad,Año,Clave_Ent,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Poblacion,Enero_percapita,Febrero_percapita,Marzo_percapita,Abril_percapita,Mayo_percapita,Junio_percapita,Julio_percapita,Agosto_percapita,Septiembre_percapita,Octubre_percapita,Noviembre_percapita,Diciembre_percapita
CHIHUAHUA,2022,8,114.0,112.0,108.0,111.0,153.0,162.0,176.0,182.0,147.0,154.0,124.0,111.0,3870381.0,2.9454464560465752e-05,2.893771956817688e-05,2.7904229583599133e-05,2.8679347072032444e-05,3.953099191009877e-05,4.18563443753987e-05,4.547355932142081e-05,4.702379429828743e-05,3.798075693323216e-05,3.978936440624321e-05,3.2038189521910115e-05,2.8679347072032444e-05
CHIHUAHUA,2023,8,140.0,150.0,161.0,116.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3903129.0,3.586865819705165e-05,3.843070521112677e-05,4.124895692660939e-05,2.9719745363271366e-05,4.4067208642092024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIUDAD DE MEXICO,2015,9,55.0,60.0,55.0,71.0,78.0,68.0,71.0,67.0,68.0,66.0,71.0,68.0,9058734.0,6.071488576659829e-06,6.6234420836289044e-06,6.071488576659829e-06,7.837739798960871e-06,8.610474708717575e-06,7.506567694779425e-06,7.837739798960871e-06,7.39617699338561e-06,7.506567694779425e-06,7.285786291991795e-06,7.837739798960871e-06,7.506567694779425e-06
CIUDAD DE MEXICO,2016,9,65.0,66.0,69.0,70.0,72.0,73.0,74.0,68.0,89.0,82.0,77.0,101.0,9053990.0,7.179155267456668e-06,7.289603810032925e-06,7.620949437761694e-06,7.731397980337951e-06,7.952295065490463e-06,8.06274360806672e-06,8.173192150642976e-06,7.510500895185437e-06,9.829920289286822e-06,9.056780491253027e-06,8.504537778371746e-06,1.11553028002019e-05
CIUDAD DE MEXICO,2017,9,92.0,69.0,71.0,89.0,101.0,94.0,78.0,87.0,96.0,95.0,81.0,95.0,9049086.0,1.0166772644220643e-05,7.625079483165482e-06,7.846096279778974e-06,9.835247449300404e-06,1.1161348228981358e-05,1.0387789440834136e-05,8.619655067926198e-06,9.614230652686912e-06,1.0608806237447627e-05,1.0498297839140881e-05,8.951180262846436e-06,1.0498297839140881e-05
CIUDAD DE MEXICO,2018,9,74.0,115.0,118.0,131.0,115.0,123.0,120.0,109.0,100.0,110.0,102.0,147.0,9041395.0,8.184577711735854e-06,1.2719276173643558e-05,1.305108337817339e-05,1.4488914597802662e-05,1.2719276173643558e-05,1.360409538572311e-05,1.3272288181193279e-05,1.2055661764583894e-05,1.1060240150994398e-05,1.2166264166093839e-05,1.1281444954014286e-05,1.6258553021961767e-05
CIUDAD DE MEXICO,2019,9,132.0,113.0,157.0,114.0,157.0,117.0,115.0,95.0,93.0,95.0,106.0,102.0,9031213.0,1.4615976835005442e-05,1.2512161987542537e-05,1.7384154265877685e-05,1.2622889084777428e-05,1.7384154265877685e-05,1.2955070376482096e-05,1.2733616182012317e-05,1.0519074237314523e-05,1.0297620042844743e-05,1.0519074237314523e-05,1.1737072306898309e-05,1.1294163917958751e-05
CIUDAD DE MEXICO,2020,9,106.0,95.0,120.0,111.0,96.0,96.0,90.0,73.0,73.0,95.0,84.0,89.0,9018645.0,1.1753428591545626e-05,1.053373317166825e-05,1.3305768216844105e-05,1.2307835600580797e-05,1.0644614573475285e-05,1.0644614573475285e-05,9.979326162633078e-06,8.094342331913497e-06,8.094342331913497e-06,1.053373317166825e-05,9.314037751790872e-06,9.868444760826044e-06
CIUDAD DE MEXICO,2021,9,85.0,80.0,79.0,74.0,100.0,63.0,83.0,78.0,70.0,59.0,78.0,72.0,9003827.0,9.44043016375148e-06,8.885110742354335e-06,8.774046858074905e-06,8.21872743667776e-06,1.1106388427942918e-05,6.9970247096040385e-06,9.218302395192622e-06,8.662982973795476e-06,7.774471899560043e-06,6.552769172486322e-06,8.662982973795476e-06,7.9965996681189e-06
CIUDAD DE MEXICO,2022,9,45.0,45.0,56.0,58.0,68.0,53.0,63.0,66.0,53.0,60.0,75.0,67.0,8986774.0,5.007358591636999e-06,5.007358591636999e-06,6.231379580703821e-06,6.453928851443243e-06,7.566675205140354e-06,5.8975556745946874e-06,7.010302028291798e-06,7.344125934400932e-06,5.8975556745946874e-06,6.676478122182666e-06,8.345597652728331e-06,7.455400569770643e-06
